Semptom,İlgili Branş
"Baş ağrısı, Baş dönmesi, Bayılma, Unutkanlık",Nöroloji
"Karın ağrısı, Şişkinlik, İshal, Kabızlık, Mide yanması",Gastroenteroloji / Genel Cerrahi
"Göğüs ağrısı, Çarpıntı, Nefes darlığı (eforla), Tansiyon yüksekliği",Kardiyoloji
"Öksürük, Balgam, Hırıltılı solunum, Sürekli burun akıntısı",Göğüs Hastalıkları
"Diş ağrısı, Diş eti kanaması, Diş eti şişmesi, Çene ağrısı",Diş Hekimliği
"Eklem ağrısı, Bel ağrısı, Boyun tutulması, Kas ağrısı",Ortopedi ve Travmatoloji / Fizik Tedavi
"Gözde yanma, Bulanık görme, Çapaklanma, Gözde batma",Göz Hastalıkları
"Deride döküntü, Kaşıntı, Leke, Akne, Ben değişikliği",Dermatoloji
"Yüksek ateş, Halsizlik, Gece terlemesi, Lenf bezlerinde şişme",Enfeksiyon Hastalıkları / Dahiliye
"Boğaz ağrısı, Kulak çınlaması, İşitme kaybı, Burun tıkanıklığı",Kulak Burun Boğaz (KBB)
"İdrarda yanma, Sık idrara çıkma, İdrar kaçırma, Böbrek ağrısı",Üroloji
"Adet düzensizliği, Kasık ağrısı, Gebelik takibi",Kadın Hastalıkları ve Doğum
"Kaygı bozukluğu, Uyku bozukluğu, Depresif ruh hali",Psikiyatri
"Aşırı susama, Sık acıkma, Kilo kaybı (ani)",Endokrinoloji
"Çocuklarda ateş, Çocuklarda gelişme geriliği",Çocuk Sağlığı ve Hastalıkları
